Nelia Wilshaw,lredhouserf@omniture.com,5315547880,4,107640,0,38175
Shane Beckitt,eweed54@bloglines.com,9119320391,3,81368,2,26125
Neysa Wedderburn,akenyon2u@engadget.com,3599848721,3,93773,1,25167
Cathy Varnes,hvanacci4a@ihg.com,5731211220,4,80420,1,29757
Ban Kiddey,alodevickip@google.com.au,5917769920,4,76476,2,39518
Maurie Buddell,lrebichonb8@home.pl,1465526615,1,94336,1,39923
Giustino Burlay,ksmelley2q@salon.com,4581902938,1,85354,2,29189
Cathrin Lankham,lmatveiko8r@hc360.com,1865080809,3,100178,3,25263
Sabra Yannoni,kmacgeenk@bbb.org,9092487723,2,96151,1,26467
Verla Dymott,rskarra5@mtv.com,2148717101,3,96328,2,30508
Shaylah Menilove,sdoak4p@tinypic.com,5054121387,3,65809,4,24820
Mel Mac Giany,lcockleyec@cam.ac.uk,1007081684,3,81356,2,40057
Leann Everley,jbarliel1@123-reg.co.uk,6916471416,4,123330,2,14874
Anastassia Pasek,cnewlandsin@cafepress.com,3002642767,3,47846,2,26696
Tiff Sibary,cmounfield7q@goo.gl,4647850679,3,59696,3,26933
Dorree Costain,jcordell90@sakura.ne.jp,5798932735,2,101228,2,29332
Norrie Loftie,rnarracottlc@hp.com,1705236533,4,73389,3,35419
Lancelot Dabnor,emicklewicz9d@psu.edu,9968529537,2,61843,2,34555
Farley Scampion,efeatenby8i@theglobeandmail.com,1713960342,3,74386,2,29462
Elspeth Closs,ptriggs6f@constantcontact.com,6443999157,1,79779,3,27394
Avrit Stealey,dveltman3f@zimbio.com,6395196420,4,112036,1,32320
Aprilette Theaker,cstapley9i@salon.com,5146566059,4,81739,4,20632
Tiffie Foister,pwhittershw@lulu.com,1143185408,3,78254,3,23693
Devina Goodbar,bwinesd3@newsvine.com,9602389937,3,86226,1,29840
Kenny Brimley,tcageb7@senate.gov,4146237733,4,58135,3,23581
Beatrice Patis,ktettah@dailymail.co.uk,8723206841,2,83374,2,24073
Olympie Lumbly,jguild2b@slashdot.org,8856791337,2,114882,2,39321
Reine McRoberts,halpin3t@senate.gov,5863684291,4,84966,3,26937
Daryl Varsey,rdezuani5k@blogs.com,7251788624,3,97783,3,34025
Howie Pinnere,fpeskettlp@youku.com,8529274177,3,67299,0,31057
Elisabetta De Filippis,avyvyanp8@dell.com,7852835916,2,123347,2,27614
Eustace Briars,ltoffel68@weibo.com,6818106048,2,124555,2,20874
Tiebold Cregg,rabrahmovicipv@smugmug.com,7805057145,3,108583,1,30636
Bren Holley,kcumberledge6v@foxnews.com,1457959370,1,80287,1,19991
Devinne Chetwin,tcroall0@infoseek.co.jp,9665477231,2,88974,1,19900
Aloise Dat,ngibbingsr6@instagram.com,8816696469,5,96077,3,34083
Yanaton Castillon,gjewessm0@yelp.com,4355939077,4,62305,3,32142
Troy Queenborough,jbrilleman1y@pinterest.com,4741686485,4,74885,3,40728
Dane Levermore,kkellarz@amazonaws.com,8616254214,4,106016,2,41513
Horst Dillow,koosthoutdevree6q@cpanel.net,2894887183,2,94087,2,27760
Kamillah Bauldry,cghidini1j@vkontakte.ru,5556214057,5,112059,2,31896
Dale Langrick,deddies9y@foxnews.com,7972210913,2,87197,0,34145
Misty Dedmam,lbethamjq@delicious.com,6506621075,3,88771,4,45592
Jeniffer McMillan,fsatford6t@fastcompany.com,6151858574,2,57642,2,27989
Ariana Vaughn,camiableqo@typepad.com,5496048058,2,73326,3,28708
Eran Boule,lmardlerc@tripod.com,8319567085,2,54960,2,23131
Mathias Castelli,bofogertyno@theglobeandmail.com,4481335429,3,72330,3,28974
Rosetta Mothersdale,rtomblingdo@blogger.com,4977967610,2,96966,2,19947
Shaw Ertel,vsargisonfu@angelfire.com,4813910381,4,92912,2,30024
Clarita Laister,eaugierm@a8.net,3843137461,2,69390,3,35773
Drucy Linford,ppoutress45@princeton.edu,6939894340,2,114867,3,22358
Cindelyn Belsher,gundyqc@independent.co.uk,7684861943,5,90387,1,30809
Giustina Grigoire,ljozwiaky@amazon.co.jp,2382758161,3,116652,4,30368
Barclay Ludlem,epilgram7l@jimdo.com,7703043831,2,111113,2,27088
Kerry Assandri,sbearfoothj@gov.uk,8151868137,4,92260,2,36319
Vita Wesgate,jbarliel1@123-reg.co.uk,7243300181,4,76864,3,26788
Cherey Galiero,sskeggs9@naver.com,1747869813,4,106423,0,19258
Malachi Crickmer,cnewlandsin@cafepress.com,8559626013,3,115367,3,22662
Griff Prynne,ddikelindv@opera.com,7662417171,1,87636,1,34881
Sutton Tooley,gmckailehg@google.de,4629562076,3,98493,2,24228
Anthia Drei,tfrancecioneai@cafepress.com,9893421873,1,81637,2,17153
Kynthia Syddon,lnobbsf6@google.pl,8701056614,2,59630,3,32476
Reinhold Wisbey,jguild2b@slashdot.org,2026443169,3,98516,1,20063
Carly Howle,rgamlenbm@mashable.com,3914627448,4,64204,1,25245
Bertie Donnison,lwellingaw@who.int,9042150798,3,59069,1,39676
Jolie Redemile,hkurtis2s@phpbb.com,3796195644,0,74027,0,39174
Elden Ratazzi,rhaireko@simplemachines.org,5988633886,3,121829,3,30560
Madelon Beynke,bettery74@posterous.com,9566241907,4,93081,2,23050
Barty Radoux,mbourgeoish6@flavors.me,6451327426,2,86019,2,25077
Early Lidgertwood,cburborough8d@nyu.edu,9045781906,4,104030,3,26783
Aldwin Dimitriev,cstapley9i@salon.com,4556192845,3,100101,1,39383
Nancey Stenson,mtate1u@dyndns.org,5926727691,1,96496,1,25040
Carly Gonsalvez,bdonisiiw@joomla.org,6098470206,4,92075,2,39848
Paddy D'Elia,durvoyir@simplemachines.org,7821983732,3,72088,1,22139
Laney Rowlings,aottewellm3@dailymotion.com,1046966201,3,111502,2,33021
Nealson Cornthwaite,sscogginsfz@buzzfeed.com,9335901184,3,69825,1,42083
Chloe Endrici,troakesbs@npr.org,8171334079,5,105610,3,18455
