20 Little Fleur Trail,6086,Portable Air Conditioning,Wood Frame,657,1989,Mobile Home,Natural Gas,2,4345,slate,0,Concrete,5,sscogginsfz@buzzfeed.com
4 Erie Drive,-643,Window Air Conditioning,Brick,314,2014,Duplex,Electric Baseboard,5,-460,slate,2,Basement,3,cmaskallaa@facebook.com
183 Hollow Ridge Parkway,10355,Window Air Conditioning,Log Home,538,1987,Townhouse,Heat Pump,3,7395,rolled roofing,3,Basement,3,ccartmillni@illinois.edu
84 Bayside Hill,2814,Portable Air Conditioning,Brick,819,1912,Duplex,Furnace,2,2010,rubber,4,Slab-on-grade,3,jdaice9s@wiley.com
0390 Evergreen Circle,8141,Ductless Mini-Split Air Conditioning,Log Home,873,1909,Apartment,Natural Gas,1,5815,clay tile,0,Slab-on-grade,4,esnookesln@buzzfeed.com
038 Weeping Birch Drive,3003,Portable Air Conditioning,Concrete Block,1106,2021,Condominium,Natural Gas,3,2145,rolled roofing,2,Concrete,3,llynnettp3@tamu.edu
82 Pearson Trail,10444,Ductless Mini-Split Air Conditioning,Brick,679,1910,Single Family Home,Boiler,5,7460,metal,3,Concrete,4,cassercg@ftc.gov
451 3rd Trail,10504,Portable Air Conditioning,Log Home,960,1949,Mobile Home,Radiant Heating,1,7500,rubber,5,Slab-on-grade,3,meaggerrd@dot.gov
738 Calypso Crossing,7707,Portable Air Conditioning,Brick,514,1981,Condominium,Wood or Pellet Stove,1,5505,metal,3,Basement,5,ewalentaqd@howstuffworks.com
6798 Truax Lane,3949,Central Air Conditioning,Brick,346,1913,Mobile Home,Electric Baseboard,3,2820,clay tile,2,Pier and Beam,2,rlowtenfc@pen.io
3 Scoville Center,5960,Window Air Conditioning,Brick,268,1986,Single Family Home,Wood or Pellet Stove,5,4255,rubber,2,Basement,1,mumanbo@slate.com
8 Arapahoe Circle,7721,Ductless Mini-Split Air Conditioning,Log Home,638,1997,Mobile Home,Electric Baseboard,2,5515,clay tile,2,Basement,4,mquaintance4t@washingtonpost.com
3000 Dwight Plaza,9272,Central Air Conditioning,Brick,619,2021,Condominium,Furnace,4,6620,wood shingle,2,Concrete,5,fsatford6t@fastcompany.com
94488 Jana Avenue,2443,Evaporative Coolers,Concrete Block,642,1964,Townhouse,Natural Gas,3,1745,concrete tile,3,Pier and Beam,5,rnannizziia@ebay.co.uk
71581 Lawn Point,7840,Window Air Conditioning,Log Home,542,1914,Single Family Home,Boiler,1,5600,rolled roofing,2,Crawl Space,5,mdowkerpi@europa.eu
3999 Kenwood Street,6770,Window Air Conditioning,Brick,1184,2020,Apartment,Radiant Heating,3,4835,asphalt shingle,2,Basement,2,rnarracottlc@hp.com
3128 Arapahoe Way,9118,Window Air Conditioning,Concrete Block,838,1942,Condominium,Furnace,2,6510,flat,2,Slab-on-grade,3,rpenkethjp@macromedia.com
19865 American Ash Avenue,11868,Central Air Conditioning,Wood Frame,580,1961,Single Family Home,Boiler,4,8475,rolled roofing,3,Basement,1,bdohrmannch@aol.com
5526 Talisman Center,9163,Portable Air Conditioning,Wood Frame,259,1943,Mobile Home,Electric Baseboard,5,6545,concrete tile,2,Crawl Space,3,lmatveiko8r@hc360.com
43844 Coleman Center,5904,Evaporative Coolers,Log Home,696,1945,Townhouse,Electric Baseboard,1,4215,wood shingle,3,Concrete,1,ztante7j@ehow.com
8345 Eliot Terrace,5160,Central Air Conditioning,Wood Frame,604,1956,Apartment,Radiant Heating,3,3685,flat,4,Slab-on-grade,3,jchetwin3u@nationalgeographic.com
8 Myrtle Street,2011,Ductless Mini-Split Air Conditioning,Brick,613,1973,Single Family Home,Electric Baseboard,3,1435,clay tile,3,Basement,2,dbambrags@state.gov
9633 Oak Valley Park,6220,Central Air Conditioning,Log Home,634,1921,Condominium,Wood or Pellet Stove,4,4440,concrete tile,3,Basement,3,jheddonpu@lulu.com
30513 Fisk Crossing,11410,Central Air Conditioning,Brick,500,1943,Condominium,Radiant Heating,2,8150,concrete tile,1,Basement,1,apetrelloll@fc2.com
5588 Forster Hill,9611,Ductless Mini-Split Air Conditioning,Log Home,1005,1927,Duplex,Boiler,5,6865,flat,4,Crawl Space,2,ebuttrickmx@washingtonpost.com
2 Hermina Street,5178,Central Air Conditioning,Concrete Block,396,2008,Single Family Home,Heat Pump,4,3695,clay tile,2,Pier and Beam,5,fjoratf8@tamu.edu
48048 Pleasure Crossing,6591,Central Air Conditioning,Wood Frame,976,1960,Duplex,Furnace,2,4705,rolled roofing,2,Slab-on-grade,4,cigog5@blogs.com
89986 Birchwood Trail,2722,Portable Air Conditioning,Concrete Block,410,2017,Townhouse,Electric Baseboard,5,1940,metal,3,Slab-on-grade,4,mcraytonhi@ca.gov
141 Thompson Crossing,11954,Portable Air Conditioning,Brick,596,1987,Condominium,Furnace,5,8535,metal,1,Crawl Space,4,mtate1u@dyndns.org
013 Meadow Valley Avenue,1075,Ductless Mini-Split Air Conditioning,Concrete Block,374,1915,Single Family Home,Heat Pump,2,765,clay tile,2,Basement,5,rmoppett27@addtoany.com
886 Del Sol Court,8969,Evaporative Coolers,Log Home,454,1992,Townhouse,Furnace,1,6405,wood shingle,4,Slab-on-grade,3,hdemseyi7@ed.gov
63069 Merchant Plaza,8150,Portable Air Conditioning,Brick,981,1947,Apartment,Boiler,4,5820,asphalt shingle,1,Slab-on-grade,4,thanigan6j@icq.com
374 Susan Center,8014,Window Air Conditioning,Concrete Block,859,1903,Single Family Home,Electric Baseboard,1,5720,concrete tile,0,Concrete,4,amanvelljl@squidoo.com
7 Tennessee Road,8975,Portable Air Conditioning,Log Home,587,1932,Mobile Home,Radiant Heating,2,6410,slate,2,Pier and Beam,4,mdowkerpi@europa.eu
2853 Washington Crossing,5240,Ductless Mini-Split Air Conditioning,Brick,856,1922,Single Family Home,Radiant Heating,3,3740,asphalt shingle,3,Pier and Beam,2,aottewellm3@dailymotion.com
798 Welch Alley,679,Ductless Mini-Split Air Conditioning,Brick,1006,1926,Duplex,Wood or Pellet Stove,4,485,wood shingle,3,Basement,3,lhammerbergert@github.com
8419 Amoth Place,2111,Evaporative Coolers,Brick,501,1932,Single Family Home,Furnace,2,1505,rolled roofing,1,Crawl Space,3,mbaudyi4@walmart.com
9155 Kedzie Alley,6169,Central Air Conditioning,Brick,496,1926,Mobile Home,Radiant Heating,4,4405,flat,3,Crawl Space,4,cfuzzardm5@ifeng.com
60863 Forster Avenue,11477,Window Air Conditioning,Brick,319,1969,Single Family Home,Wood or Pellet Stove,1,8195,flat,2,Pier and Beam,3,rnarracottlc@hp.com
07 Rowland Circle,12123,Ductless Mini-Split Air Conditioning,Brick,356,2008,Condominium,Wood or Pellet Stove,4,8655,slate,2,Crawl Space,2,rjurczykj7@xinhuanet.com
0394 Jenifer Court,6520,Window Air Conditioning,Log Home,685,2008,Condominium,Furnace,5,4655,slate,2,Pier and Beam,2,pdavidsene1@taobao.com
09168 Cardinal Alley,7318,Evaporative Coolers,Wood Frame,454,1913,Apartment,Furnace,5,5225,concrete tile,2,Pier and Beam,2,weidlerqy@multiply.com
1528 Mifflin Drive,3759,Evaporative Coolers,Concrete Block,558,1957,Apartment,Electric Baseboard,2,2685,rubber,2,Basement,3,kcumberledge6v@foxnews.com
839 Donald Court,8021,Evaporative Coolers,Wood Frame,743,1969,Single Family Home,Furnace,3,5725,slate,2,Slab-on-grade,3,hcoileyo0@dmoz.org
369 Crownhardt Crossing,3002,Evaporative Coolers,Concrete Block,700,1914,Apartment,Wood or Pellet Stove,3,2140,wood shingle,4,Crawl Space,3,mtate1u@dyndns.org
383 Farragut Road,2518,Window Air Conditioning,Log Home,700,1988,Duplex,Furnace,1,1795,asphalt shingle,0,Basement,3,hgehringerpm@reference.com
660 Straubel Street,11263,Central Air Conditioning,Concrete Block,607,1916,Single Family Home,Natural Gas,1,8045,metal,3,Basement,3,ssclater57@cargocollective.com
160 Jenifer Avenue,7759,Portable Air Conditioning,Log Home,458,1962,Apartment,Boiler,3,5540,wood shingle,1,Crawl Space,4,lmardlerc@tripod.com
904 Maple Wood Crossing,5540,Window Air Conditioning,Wood Frame,824,1965,Apartment,Boiler,5,3955,metal,2,Pier and Beam,3,eaugierm@a8.net
57 Towne Junction,8277,Central Air Conditioning,Brick,363,2003,Mobile Home,Wood or Pellet Stove,3,5910,flat,4,Crawl Space,3,acreak8f@auda.org.au
04 Coolidge Circle,-1356,Window Air Conditioning,Concrete Block,425,1974,Mobile Home,Electric Baseboard,1,-970,slate,3,Crawl Space,2,jdaice9s@wiley.com
8 Kennedy Lane,5462,Window Air Conditioning,Brick,457,1929,Single Family Home,Boiler,5,3900,rolled roofing,2,Crawl Space,3,rkaas1n@sphinn.com
9 Anderson Place,2945,Ductless Mini-Split Air Conditioning,Log Home,971,1956,Apartment,Electric Baseboard,1,2100,clay tile,0,Pier and Beam,3,lhammerbergert@github.com
17 Hudson Pass,5711,Evaporative Coolers,Brick,592,1985,Mobile Home,Electric Baseboard,2,4075,flat,2,Concrete,2,cfurminger6@engadget.com
25458 Fremont Street,5347,Window Air Conditioning,Brick,717,1932,Duplex,Natural Gas,2,3815,rolled roofing,2,Pier and Beam,3,jcordell90@sakura.ne.jp
54 Vernon Point,12106,Window Air Conditioning,Brick,644,1918,Mobile Home,Electric Baseboard,5,8645,rubber,2,Basement,4,rmcclevertyou@com.com
307 Forest Trail,5823,Evaporative Coolers,Brick,615,1992,Townhouse,Boiler,2,4155,flat,2,Slab-on-grade,1,ccartmillni@illinois.edu
92989 Spenser Way,292,Evaporative Coolers,Brick,748,1967,Condominium,Heat Pump,1,205,metal,2,Basement,2,mbynelu@vimeo.com
21 Bayside Park,6069,Central Air Conditioning,Brick,553,1910,Condominium,Furnace,4,4335,concrete tile,3,Slab-on-grade,3,lcarvell1m@cargocollective.com
966 Thackeray Avenue,7588,Evaporative Coolers,Wood Frame,371,2005,Mobile Home,Natural Gas,1,5420,flat,2,Basement,3,bbeetham2p@amazon.co.jp
03155 Spohn Park,9701,Evaporative Coolers,Concrete Block,670,1907,Duplex,Wood or Pellet Stove,4,6925,rubber,2,Concrete,1,eaugierm@a8.net
5 Thierer Court,4344,Evaporative Coolers,Concrete Block,597,1923,Townhouse,Furnace,1,3100,rubber,-1,Pier and Beam,3,bvardencq@t-online.de
22 Grasskamp Trail,8369,Evaporative Coolers,Brick,584,1954,Duplex,Electric Baseboard,2,5975,asphalt shingle,2,Basement,2,tkelleherp@narod.ru
72 American Ash Hill,8393,Window Air Conditioning,Log Home,124,1971,Townhouse,Furnace,4,5995,rolled roofing,2,Crawl Space,5,aklimushev5p@marriott.com
86 Ramsey Center,4937,Ductless Mini-Split Air Conditioning,Wood Frame,681,1900,Mobile Home,Natural Gas,3,3525,asphalt shingle,3,Concrete,3,rculmer9a@omniture.com
8 Norway Maple Road,4328,Evaporative Coolers,Concrete Block,851,1914,Single Family Home,Radiant Heating,2,3090,clay tile,3,Pier and Beam,2,bvallentin83@loc.gov
9 Thierer Junction,6873,Central Air Conditioning,Wood Frame,825,1946,Mobile Home,Radiant Heating,5,4905,rubber,1,Crawl Space,4,hdemseyi7@ed.gov
56 Karstens Court,9172,Central Air Conditioning,Log Home,333,1927,Apartment,Electric Baseboard,5,6550,rolled roofing,1,Crawl Space,3,etweedy6x@cmu.edu
3 Blaine Place,11609,Window Air Conditioning,Log Home,380,1975,Mobile Home,Boiler,3,8290,rubber,1,Crawl Space,3,eaugierm@a8.net
5 Jay Street,6669,Ductless Mini-Split Air Conditioning,Brick,354,2014,Single Family Home,Electric Baseboard,4,4760,asphalt shingle,1,Pier and Beam,2,obeavorsl5@wired.com
50346 Homewood Lane,6817,Portable Air Conditioning,Log Home,473,1919,Townhouse,Wood or Pellet Stove,1,4865,asphalt shingle,2,Pier and Beam,2,jheddonpu@lulu.com
373 Hermina Drive,4189,Portable Air Conditioning,Concrete Block,789,1913,Duplex,Electric Baseboard,2,2990,metal,1,Slab-on-grade,3,bbartunekfd@cdbaby.com
