69 Becker Point,6505,Evaporative Coolers,Concrete Block,691,1948,Apartment,Radiant Heating,1,4645,metal,4,Basement,4,oseivertsenev@topsy.com
0581 Hagan Alley,7377,Central Air Conditioning,Log Home,805,1946,Duplex,Wood or Pellet Stove,1,5265,flat,2,Crawl Space,4,hslanymu@irs.gov
7 Talmadge Park,6958,Window Air Conditioning,Concrete Block,791,1947,Single Family Home,Heat Pump,2,4970,flat,3,Pier and Beam,2,aeplettmj@ftc.gov
0729 3rd Crossing,10976,Ductless Mini-Split Air Conditioning,Concrete Block,389,1998,Mobile Home,Natural Gas,5,7840,asphalt shingle,1,Crawl Space,3,ljorcke5w@vimeo.com
460 Forest Dale Place,6150,Central Air Conditioning,Brick,665,1906,Mobile Home,Furnace,5,4390,clay tile,3,Concrete,3,cevitts9s@qq.com
49171 Norway Maple Lane,7484,Ductless Mini-Split Air Conditioning,Concrete Block,585,2008,Apartment,Natural Gas,3,5345,slate,1,Slab-on-grade,3,dnettigx@howstuffworks.com
54680 Sommers Hill,8144,Window Air Conditioning,Wood Frame,586,1950,Condominium,Natural Gas,2,5815,asphalt shingle,3,Slab-on-grade,4,brassell71@latimes.com
50415 Warbler Street,3581,Window Air Conditioning,Concrete Block,473,1938,Apartment,Furnace,4,2555,metal,1,Concrete,4,drasellnx@photobucket.com
9 Caliangt Terrace,3280,Ductless Mini-Split Air Conditioning,Concrete Block,507,1978,Duplex,Wood or Pellet Stove,1,2340,wood shingle,3,Slab-on-grade,3,cmcquorkellcz@pbs.org
3942 Parkside Terrace,9826,Ductless Mini-Split Air Conditioning,Brick,740,1995,Duplex,Furnace,5,7015,slate,4,Concrete,4,darbuckeliz@unc.edu
8 Dorton Terrace,2314,Evaporative Coolers,Wood Frame,320,1969,Mobile Home,Heat Pump,5,1650,wood shingle,2,Basement,4,hgrigauthn@google.ca
9278 Dottie Hill,3958,Portable Air Conditioning,Brick,600,1947,Single Family Home,Boiler,5,2825,metal,2,Slab-on-grade,3,lkorb5z@senate.gov
1 Clove Hill,7066,Ductless Mini-Split Air Conditioning,Log Home,499,1922,Townhouse,Radiant Heating,5,5045,rolled roofing,1,Concrete,3,lsumshon98@google.cn
099 Shopko Lane,6088,Portable Air Conditioning,Wood Frame,716,1920,Single Family Home,Natural Gas,3,4345,rolled roofing,1,Concrete,2,jminichillo66@bloglovin.com
14 Dixon Crossing,12753,Ductless Mini-Split Air Conditioning,Wood Frame,567,1915,Townhouse,Radiant Heating,1,9105,rolled roofing,2,Slab-on-grade,2,ctaltonku@pinterest.com
117 Lien Point,8331,Ductless Mini-Split Air Conditioning,Log Home,714,1923,Condominium,Wood or Pellet Stove,4,5950,rubber,3,Basement,4,wsindelloq@google.co.uk
63 Chinook Drive,10999,Window Air Conditioning,Wood Frame,514,1940,Townhouse,Natural Gas,3,7855,concrete tile,1,Pier and Beam,4,imccalisterfb@ustream.tv
672 Pawling Court,8081,Ductless Mini-Split Air Conditioning,Concrete Block,761,1975,Single Family Home,Electric Baseboard,3,5770,concrete tile,2,Concrete,4,emaddinac@github.io
244 Heath Terrace,6279,Portable Air Conditioning,Brick,384,1992,Mobile Home,Furnace,3,4485,rolled roofing,2,Concrete,4,cmcquorkellcz@pbs.org
9309 Monument Junction,11590,Evaporative Coolers,Brick,237,1993,Townhouse,Electric Baseboard,3,8275,slate,4,Concrete,2,mpengellyhy@prweb.com
5 Little Fleur Park,7188,Central Air Conditioning,Wood Frame,749,2012,Single Family Home,Electric Baseboard,3,5130,metal,2,Basement,2,oduggen89@marriott.com
155 Crownhardt Drive,6713,Central Air Conditioning,Wood Frame,461,1943,Duplex,Electric Baseboard,2,4795,wood shingle,1,Basement,2,abirchillpz@seattletimes.com
42420 Sutteridge Way,8433,Window Air Conditioning,Wood Frame,547,1912,Townhouse,Boiler,1,6020,slate,2,Pier and Beam,3,amainstoneak@homestead.com
13 Shasta Center,3365,Ductless Mini-Split Air Conditioning,Brick,440,1983,Condominium,Boiler,2,2400,clay tile,3,Basement,3,rnorcuttk8@goodreads.com
1 Dawn Lane,5222,Window Air Conditioning,Concrete Block,691,1907,Duplex,Heat Pump,5,3730,clay tile,1,Basement,4,dsattinfd@4shared.com
943 Forest Park,6004,Ductless Mini-Split Air Conditioning,Brick,532,1919,Condominium,Boiler,2,4285,concrete tile,3,Crawl Space,2,bcrinsonj8@whitehouse.gov
74 Union Trail,5959,Ductless Mini-Split Air Conditioning,Brick,582,1973,Condominium,Boiler,2,4255,wood shingle,2,Pier and Beam,2,kcoarsere8@nydailynews.com
24488 Kenwood Hill,9326,Evaporative Coolers,Wood Frame,933,1954,Apartment,Wood or Pellet Stove,3,6660,wood shingle,1,Slab-on-grade,4,mpengellyhy@prweb.com
813 Northview Road,6596,Window Air Conditioning,Log Home,477,1926,Duplex,Wood or Pellet Stove,1,4710,slate,2,Pier and Beam,4,cworcester3r@360.cn
8695 Larry Junction,5935,Window Air Conditioning,Brick,639,2001,Apartment,Furnace,2,4235,slate,2,Slab-on-grade,3,mgreenan2y@miibeian.gov.cn
2 Ridgeway Parkway,9484,Evaporative Coolers,Concrete Block,723,2011,Apartment,Furnace,1,6770,slate,2,Concrete,3,dwhight4y@umich.edu
0989 Helena Alley,5616,Portable Air Conditioning,Brick,588,1903,Single Family Home,Radiant Heating,2,4010,clay tile,2,Slab-on-grade,3,pforker5e@rediff.com
4038 Novick Park,8251,Evaporative Coolers,Wood Frame,517,1925,Condominium,Heat Pump,5,5890,metal,1,Crawl Space,4,jellensph@vinaora.com
430 Knutson Park,5649,Portable Air Conditioning,Log Home,525,2003,Mobile Home,Electric Baseboard,4,4035,slate,3,Crawl Space,4,scarnegyqi@domainmarket.com
198 Clyde Gallagher Plaza,10100,Evaporative Coolers,Wood Frame,726,2002,Duplex,Wood or Pellet Stove,4,7210,concrete tile,2,Pier and Beam,2,tdomnineyby@istockphoto.com
58 Independence Road,10320,Ductless Mini-Split Air Conditioning,Wood Frame,688,1910,Single Family Home,Boiler,3,7370,rubber,1,Concrete,4,ewelch8c@multiply.com
6330 Canary Terrace,3087,Portable Air Conditioning,Brick,928,1911,Single Family Home,Boiler,5,2205,concrete tile,2,Slab-on-grade,3,trampleeq9@typepad.com
8 Bunker Hill Alley,6964,Ductless Mini-Split Air Conditioning,Wood Frame,743,1960,Mobile Home,Boiler,4,4970,metal,2,Crawl Space,2,hdorinnc@dion.ne.jp
11997 Shopko Terrace,3781,Central Air Conditioning,Brick,593,1926,Townhouse,Heat Pump,5,2700,asphalt shingle,2,Concrete,3,dhickisson5d@so-net.ne.jp
362 Artisan Parkway,5023,Portable Air Conditioning,Wood Frame,636,1916,Condominium,Wood or Pellet Stove,1,3585,metal,2,Basement,5,emeedendorpe22@hugedomains.com
8 Pennsylvania Way,11735,Evaporative Coolers,Brick,741,2021,Mobile Home,Wood or Pellet Stove,1,8380,rubber,3,Slab-on-grade,4,mcornbell4g@imageshack.us
64242 Waywood Street,4390,Portable Air Conditioning,Brick,524,2014,Condominium,Furnace,3,3135,asphalt shingle,0,Pier and Beam,3,nlaxennb@so-net.ne.jp
45385 Kropf Place,6199,Central Air Conditioning,Wood Frame,429,1974,Apartment,Boiler,1,4425,asphalt shingle,3,Crawl Space,1,scarnegyqi@domainmarket.com
17647 Farwell Plaza,4198,Ductless Mini-Split Air Conditioning,Concrete Block,415,1903,Apartment,Natural Gas,4,2995,concrete tile,2,Basement,3,darbuckeliz@unc.edu
19227 Straubel Crossing,9821,Window Air Conditioning,Log Home,632,1912,Apartment,Heat Pump,3,7015,rolled roofing,3,Slab-on-grade,4,kpaulw@nasa.gov
2 Victoria Way,7881,Window Air Conditioning,Log Home,624,1920,Apartment,Heat Pump,2,5625,slate,1,Concrete,3,mcornbell4g@imageshack.us
055 Comanche Street,6088,Window Air Conditioning,Wood Frame,738,2010,Condominium,Wood or Pellet Stove,4,4345,clay tile,2,Pier and Beam,3,jminichillo66@bloglovin.com
63836 Waubesa Point,11094,Portable Air Conditioning,Concrete Block,741,1948,Apartment,Wood or Pellet Stove,4,7920,clay tile,2,Concrete,4,gholtonct@wufoo.com
8619 Moulton Terrace,3388,Evaporative Coolers,Concrete Block,483,1905,Townhouse,Heat Pump,1,2420,rubber,1,Slab-on-grade,4,tlechmerefz@quantcast.com
1624 5th Parkway,9492,Window Air Conditioning,Wood Frame,554,1941,Mobile Home,Wood or Pellet Stove,1,6780,rubber,2,Concrete,2,cszymonowiczmh@usda.gov
3591 Hoepker Alley,4408,Portable Air Conditioning,Wood Frame,459,2016,Townhouse,Electric Baseboard,2,3145,slate,1,Basement,3,dconantqq@list-manage.com
844 Dapin Drive,6572,Evaporative Coolers,Brick,784,1937,Mobile Home,Boiler,2,4690,clay tile,3,Concrete,4,jgirdwoodf3@skype.com
0 Miller Hill,3767,Central Air Conditioning,Concrete Block,736,2000,Single Family Home,Heat Pump,3,2690,slate,4,Basement,2,lcussib@godaddy.com
85 Carpenter Way,5845,Central Air Conditioning,Concrete Block,521,1902,Townhouse,Heat Pump,1,4175,wood shingle,1,Basement,4,erodgersonfe@barnesandnoble.com
934 Grover Drive,3446,Ductless Mini-Split Air Conditioning,Concrete Block,576,1935,Mobile Home,Natural Gas,3,2460,flat,2,Crawl Space,5,epargetterl3@shareasale.com
86441 Shoshone Hill,6972,Central Air Conditioning,Concrete Block,731,1949,Townhouse,Natural Gas,3,4980,metal,2,Basement,4,sseefeldt3f@github.io
4 Kingsford Place,4539,Central Air Conditioning,Concrete Block,544,2019,Duplex,Furnace,2,3240,concrete tile,1,Slab-on-grade,2,docorhaneee@ehow.com
57871 Sunnyside Junction,1097,Window Air Conditioning,Concrete Block,442,1991,Mobile Home,Boiler,3,780,wood shingle,2,Pier and Beam,3,wvanne4k@miitbeian.gov.cn
677 Straubel Point,8744,Ductless Mini-Split Air Conditioning,Brick,686,1994,Mobile Home,Natural Gas,1,6245,flat,4,Basement,3,ablain6r@bigcartel.com
55770 Spohn Plaza,5782,Portable Air Conditioning,Brick,647,1931,Single Family Home,Electric Baseboard,5,4130,asphalt shingle,2,Crawl Space,2,lferencowiczqs@networksolutions.com
7 Sutteridge Point,8008,Portable Air Conditioning,Concrete Block,813,2004,Townhouse,Boiler,1,5720,rolled roofing,3,Basement,3,ldavidovicf2@vinaora.com
3554 Melrose Pass,3809,Ductless Mini-Split Air Conditioning,Concrete Block,527,1971,Single Family Home,Electric Baseboard,2,2720,asphalt shingle,4,Crawl Space,2,cpawlickif4@biglobe.ne.jp
8231 Dunning Lane,1804,Portable Air Conditioning,Concrete Block,519,1948,Single Family Home,Wood or Pellet Stove,3,1285,metal,1,Basement,3,wbudgea0@sitemeter.com
52 Spohn Park,5977,Ductless Mini-Split Air Conditioning,Concrete Block,526,1934,Duplex,Electric Baseboard,4,4265,clay tile,4,Pier and Beam,3,mdrablei8@usa.gov
7 Anniversary Point,7863,Central Air Conditioning,Wood Frame,797,1982,Apartment,Radiant Heating,5,5615,rolled roofing,3,Slab-on-grade,2,dpaunsford8k@fda.gov
2 Cherokee Road,11847,Ductless Mini-Split Air Conditioning,Brick,489,1989,Apartment,Natural Gas,3,8460,rolled roofing,0,Basement,2,edewesc7@cdc.gov
17 2nd Way,11165,Portable Air Conditioning,Wood Frame,400,1909,Condominium,Boiler,1,7975,metal,2,Basement,2,ifalkindere5@myspace.com
2 Calypso Hill,9965,Portable Air Conditioning,Wood Frame,639,1986,Townhouse,Furnace,4,7115,clay tile,3,Crawl Space,3,sgartsyder4@1688.com
33009 Spenser Parkway,7273,Window Air Conditioning,Concrete Block,454,1970,Apartment,Heat Pump,5,5195,concrete tile,2,Basement,1,forrocks1a@virginia.edu
8 Mifflin Place,10216,Portable Air Conditioning,Log Home,356,1928,Townhouse,Furnace,5,7295,wood shingle,4,Concrete,3,bdeveroseab@i2i.jp
6090 Independence Center,3134,Ductless Mini-Split Air Conditioning,Wood Frame,468,1945,Condominium,Wood or Pellet Stove,5,2235,flat,3,Concrete,4,pgritsaevlz@nytimes.com
2 Bartelt Parkway,6675,Evaporative Coolers,Concrete Block,472,1935,Condominium,Wood or Pellet Stove,2,4765,asphalt shingle,2,Slab-on-grade,5,sdanbrookr9@whitehouse.gov
7 Duke Plaza,8686,Ductless Mini-Split Air Conditioning,Wood Frame,355,2005,Single Family Home,Natural Gas,5,6200,metal,4,Concrete,4,edewesc7@cdc.gov
9 Carpenter Point,8223,Portable Air Conditioning,Brick,254,1992,Duplex,Wood or Pellet Stove,2,5870,clay tile,0,Concrete,2,lanyenead@kickstarter.com
9422 Westridge Avenue,11755,Portable Air Conditioning,Brick,539,1985,Condominium,Heat Pump,5,8395,rubber,3,Slab-on-grade,3,egreenleyip@bing.com
3109 Chinook Way,5366,Window Air Conditioning,Concrete Block,199,2009,Townhouse,Electric Baseboard,1,3830,rubber,1,Crawl Space,4,jralton10@springer.com
091 Crescent Oaks Hill,3981,Portable Air Conditioning,Log Home,945,1913,Apartment,Wood or Pellet Stove,2,2840,rubber,2,Crawl Space,1,ryantsurevcq@wix.com
7293 Ridgeview Trail,4022,Portable Air Conditioning,Log Home,385,2006,Mobile Home,Heat Pump,4,2870,rubber,2,Crawl Space,2,fkixme@wufoo.com
91 Prentice Way,6037,Central Air Conditioning,Wood Frame,938,1999,Single Family Home,Natural Gas,4,4310,slate,3,Slab-on-grade,5,fpottagepo@nifty.com
32 Lakewood Hill,8371,Ductless Mini-Split Air Conditioning,Concrete Block,505,2014,Mobile Home,Natural Gas,3,5975,wood shingle,2,Concrete,3,aharwinnk@weebly.com
76 Grim Crossing,7110,Portable Air Conditioning,Log Home,644,1918,Single Family Home,Boiler,5,5075,metal,1,Concrete,4,tmilthorpe8d@weather.com
977 Harper Terrace,6251,Window Air Conditioning,Wood Frame,649,1945,Duplex,Electric Baseboard,1,4465,metal,0,Concrete,3,gcoulthardn5@infoseek.co.jp
0 Hazelcrest Crossing,6063,Evaporative Coolers,Wood Frame,746,1975,Single Family Home,Furnace,1,4330,metal,2,Pier and Beam,3,rkensettht@ted.com
095 Reinke Avenue,2685,Ductless Mini-Split Air Conditioning,Log Home,559,1998,Mobile Home,Boiler,3,1915,slate,2,Pier and Beam,3,cnorcliff8x@youtu.be
979 Buena Vista Alley,9673,Window Air Conditioning,Concrete Block,635,1945,Townhouse,Natural Gas,5,6905,wood shingle,2,Basement,2,wickovicic3@flavors.me
208 Algoma Lane,5988,Window Air Conditioning,Concrete Block,733,2005,Mobile Home,Furnace,5,4275,rolled roofing,1,Crawl Space,3,cwoolmoreey@reference.com
58925 Arkansas Hill,7543,Ductless Mini-Split Air Conditioning,Concrete Block,279,1971,Mobile Home,Radiant Heating,5,5385,rolled roofing,1,Slab-on-grade,2,imccalisterfb@ustream.tv
856 Dixon Plaza,7718,Portable Air Conditioning,Wood Frame,1015,1914,Single Family Home,Heat Pump,4,5510,slate,2,Crawl Space,0,jgeall@ocn.ne.jp
1760 Carey Parkway,7319,Portable Air Conditioning,Wood Frame,431,1974,Mobile Home,Furnace,2,5225,slate,2,Basement,3,ldavidovicf2@vinaora.com
4953 Loeprich Trail,8595,Evaporative Coolers,Log Home,522,2001,Condominium,Natural Gas,3,6135,clay tile,4,Crawl Space,3,dcaughte96@surveymonkey.com
3 Northridge Alley,7011,Evaporative Coolers,Wood Frame,809,1937,Single Family Home,Natural Gas,5,5005,rolled roofing,2,Pier and Beam,3,vsnyder5p@wikipedia.org
05198 Muir Street,7090,Portable Air Conditioning,Log Home,677,2014,Duplex,Furnace,5,5060,asphalt shingle,1,Pier and Beam,3,aappsrq@reverbnation.com
5590 Mockingbird Avenue,8966,Evaporative Coolers,Log Home,345,1904,Apartment,Electric Baseboard,2,6400,slate,3,Basement,3,drasellnx@photobucket.com
86937 Northwestern Pass,6577,Portable Air Conditioning,Wood Frame,587,1956,Duplex,Electric Baseboard,1,4695,concrete tile,2,Crawl Space,4,cworcester3r@360.cn
8 West Hill,4518,Evaporative Coolers,Wood Frame,418,1970,Condominium,Furnace,4,3225,rolled roofing,2,Crawl Space,4,scarnegyqi@domainmarket.com
892 Shasta Way,10790,Evaporative Coolers,Concrete Block,560,2021,Duplex,Wood or Pellet Stove,5,7705,slate,2,Basement,4,mmathe2o@netlog.com
90913 Sage Terrace,4514,Window Air Conditioning,Wood Frame,807,1995,Duplex,Wood or Pellet Stove,1,3220,rubber,2,Slab-on-grade,3,lpresnalld@home.pl
2410 Portage Lane,12071,Central Air Conditioning,Log Home,210,2006,Single Family Home,Radiant Heating,4,8620,asphalt shingle,2,Concrete,1,emellando@bloglines.com
50056 Buhler Center,4627,Ductless Mini-Split Air Conditioning,Wood Frame,756,1963,Apartment,Boiler,4,3305,concrete tile,1,Basement,1,dnettigx@howstuffworks.com
22228 Bobwhite Center,2991,Portable Air Conditioning,Brick,506,1934,Single Family Home,Natural Gas,2,2135,clay tile,1,Pier and Beam,1,mallchin1h@gmpg.org
43003 Vera Place,5450,Evaporative Coolers,Log Home,793,1969,Condominium,Boiler,1,3890,flat,2,Slab-on-grade,2,bransom6i@gmpg.org
58112 Delladonna Place,3358,Ductless Mini-Split Air Conditioning,Concrete Block,433,2003,Duplex,Natural Gas,5,2395,flat,3,Pier and Beam,4,kkobieladl@studiopress.com
12324 Mallard Circle,12494,Evaporative Coolers,Concrete Block,676,1991,Mobile Home,Boiler,4,8920,rolled roofing,2,Crawl Space,5,dpaunsford8k@fda.gov
577 Memorial Terrace,5375,Central Air Conditioning,Concrete Block,572,1932,Mobile Home,Wood or Pellet Stove,2,3835,concrete tile,2,Concrete,2,umaidmentd3@vk.com
4 Killdeer Terrace,3488,Window Air Conditioning,Wood Frame,340,1990,Duplex,Heat Pump,2,2490,rubber,3,Pier and Beam,4,bransom6i@gmpg.org
2 Transport Center,5989,Window Air Conditioning,Wood Frame,730,2010,Apartment,Furnace,5,4275,asphalt shingle,0,Crawl Space,3,dkimmingscp@wikispaces.com
3 Northland Road,1815,Ductless Mini-Split Air Conditioning,Wood Frame,713,1904,Townhouse,Radiant Heating,1,1295,flat,3,Basement,2,maxupow@themeforest.net
21789 Glacier Hill Center,4605,Ductless Mini-Split Air Conditioning,Concrete Block,219,1912,Duplex,Wood or Pellet Stove,5,3285,slate,2,Basement,4,emellando@bloglines.com
73 Randy Hill,6949,Ductless Mini-Split Air Conditioning,Log Home,893,1939,Single Family Home,Radiant Heating,3,4960,flat,1,Concrete,3,hgrahl7@utexas.edu
1855 Mayfield Terrace,6621,Evaporative Coolers,Log Home,675,2007,Single Family Home,Furnace,1,4725,rolled roofing,1,Slab-on-grade,3,wpitkaithlylk@si.edu
9 Schlimgen Street,6963,Ductless Mini-Split Air Conditioning,Wood Frame,559,1917,Condominium,Furnace,3,4970,rubber,1,Crawl Space,2,wnarriea1@example.com
974 Division Junction,11093,Portable Air Conditioning,Wood Frame,1024,1975,Condominium,Wood or Pellet Stove,4,7920,rubber,1,Pier and Beam,3,kcraykemb@csmonitor.com
2683 Springs Plaza,8998,Evaporative Coolers,Log Home,751,1954,Townhouse,Electric Baseboard,5,6425,rolled roofing,1,Concrete,2,glackielt@webnode.com
01266 Havey Avenue,6159,Central Air Conditioning,Brick,921,1921,Single Family Home,Wood or Pellet Stove,1,4395,rolled roofing,3,Slab-on-grade,2,mallchin1h@gmpg.org
8 Hallows Street,5154,Window Air Conditioning,Wood Frame,524,1978,Mobile Home,Boiler,5,3680,concrete tile,2,Concrete,2,dmiddlewickn4@qq.com
8073 Kings Parkway,5230,Window Air Conditioning,Wood Frame,720,2017,Condominium,Boiler,4,3735,concrete tile,3,Slab-on-grade,3,gfrogleynv@ebay.com
33 Village Circle,6585,Window Air Conditioning,Brick,475,2018,Mobile Home,Boiler,2,4700,concrete tile,3,Crawl Space,4,sheinle7x@elegantthemes.com
861 Lakewood Parkway,6861,Evaporative Coolers,Concrete Block,672,1971,Single Family Home,Natural Gas,3,4900,wood shingle,4,Crawl Space,4,ndimmerim@blinklist.com
000 Northwestern Trail,7669,Portable Air Conditioning,Wood Frame,452,1917,Single Family Home,Heat Pump,5,5475,concrete tile,0,Basement,3,csumner31@google.ca
71 Grayhawk Road,11220,Central Air Conditioning,Concrete Block,804,1929,Townhouse,Natural Gas,3,8010,concrete tile,2,Basement,5,kplumbl6@friendfeed.com
62440 Maple Wood Lane,6578,Portable Air Conditioning,Concrete Block,439,1900,Apartment,Natural Gas,1,4695,asphalt shingle,2,Pier and Beam,4,pgritsaevlz@nytimes.com
1 Jenna Circle,1765,Portable Air Conditioning,Brick,679,1930,Duplex,Wood or Pellet Stove,1,1260,rubber,2,Crawl Space,2,kpaulw@nasa.gov
05467 Continental Lane,-59,Portable Air Conditioning,Concrete Block,671,2011,Duplex,Furnace,3,-45,wood shingle,3,Basement,3,ajohnstoneha@sina.com.cn
4 Bay Hill,6001,Portable Air Conditioning,Brick,744,1925,Apartment,Electric Baseboard,1,4285,wood shingle,1,Pier and Beam,3,rbyatt21@skype.com
10 6th Way,5025,Portable Air Conditioning,Brick,705,1972,Mobile Home,Heat Pump,2,3585,slate,3,Slab-on-grade,3,forrocks1a@virginia.edu
59 Atwood Point,5593,Evaporative Coolers,Concrete Block,527,1971,Mobile Home,Wood or Pellet Stove,5,3995,metal,2,Concrete,1,aaymer7g@shinystat.com
7351 Garrison Court,1485,Evaporative Coolers,Concrete Block,423,1908,Apartment,Heat Pump,3,1060,rubber,2,Concrete,4,dmcnelis8v@gnu.org
0939 Porter Park,2630,Window Air Conditioning,Wood Frame,954,1942,Single Family Home,Natural Gas,3,1875,rubber,3,Basement,4,trampleeq9@typepad.com
58987 Kenwood Crossing,2368,Window Air Conditioning,Wood Frame,261,1980,Condominium,Heat Pump,5,1690,slate,2,Concrete,3,yfairchildbz@scribd.com
0 Ryan Lane,7466,Evaporative Coolers,Log Home,593,1956,Single Family Home,Radiant Heating,5,5330,rolled roofing,1,Basement,5,jbaptisteg8@vinaora.com
985 Hollow Ridge Junction,12118,Evaporative Coolers,Brick,681,1978,Duplex,Wood or Pellet Stove,1,8655,rolled roofing,3,Pier and Beam,4,kkobieladl@studiopress.com
2393 Sherman Parkway,5922,Evaporative Coolers,Wood Frame,672,1955,Single Family Home,Wood or Pellet Stove,2,4230,rolled roofing,4,Slab-on-grade,2,greisenberg9a@berkeley.edu
2 Canary Hill,3098,Portable Air Conditioning,Concrete Block,846,1918,Mobile Home,Radiant Heating,5,2210,clay tile,2,Pier and Beam,1,ggurwoodb1@photobucket.com
3213 Sheridan Junction,11512,Central Air Conditioning,Wood Frame,319,1934,Mobile Home,Radiant Heating,1,8220,rolled roofing,1,Pier and Beam,4,egrayshond1@telegraph.co.uk
